"time"	"b_cf"	"b_c2c"	"c_V"	"p_i"	"D_V"
83	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
84	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
85	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
86	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
87	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
88	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
89	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
90	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
91	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
92	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
93	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
94	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
95	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
96	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
97	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
98	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
99	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
100	0.976451976	0.1057817482	0.7286950826	0.5350872579	0.5
